,x,y_lower,y,y_upper
0,0.0,0.31,0.48,0.64
1,0.1,0.22,0.3,0.37
2,0.2,0.19,0.27,0.36
3,0.3,0.13,0.2,0.29
4,0.4,0.08,0.13,0.18
5,0.5,0.06,0.09,0.14
6,0.6,0.05,0.07,0.11
7,0.7,0.04,0.06,0.08
8,0.8,0.03,0.04,0.07
9,0.9,0.03,0.04,0.05
10,1.0,0.03,0.04,0.05
