,x,y_lower,y,y_upper
162,16200.0,0.03,0.043,0.056
163,16300.0,0.028,0.036,0.056
164,16400.0,0.0295,0.037,0.0565
165,16500.0,0.028,0.04,0.0545
166,16600.0,0.028,0.042,0.053
167,16700.0,0.028,0.039,0.056
168,16800.0,0.03,0.038,0.054
169,16900.0,0.028,0.041,0.054
170,17000.0,0.03,0.04,0.0505
171,17100.0,0.0295,0.041,0.056
172,17200.0,0.028,0.038,0.054
173,17300.0,0.03,0.038,0.052
174,17400.0,0.028,0.037,0.0545
175,17500.0,0.03,0.038,0.058
176,17600.0,0.0275,0.034,0.0505
177,17700.0,0.0295,0.038,0.054
178,17800.0,0.03,0.038,0.0605
179,17900.0,0.026,0.034,0.042
180,18000.0,0.026,0.039,0.048
181,18100.0,0.0275,0.034,0.046
182,18200.0,0.026,0.038,0.062
183,18300.0,0.028,0.042,0.058
184,18400.0,0.03,0.036,0.0505
185,18500.0,0.028,0.036,0.0525
186,18600.0,0.028,0.036,0.0605
187,18700.0,0.026,0.036,0.0525
188,18800.0,0.028,0.038,0.052
189,18900.0,0.03,0.04,0.0505
190,19000.0,0.028,0.038,0.052
191,19100.0,0.03,0.038,0.0545
192,19200.0,0.032,0.04,0.062
193,19300.0,0.026,0.038,0.0565
194,19400.0,0.028,0.04,0.0605
195,19500.0,0.03,0.038,0.056
196,19600.0,0.03,0.039,0.06
197,19700.0,0.03,0.04,0.056
198,19800.0,0.0315,0.04,0.06
199,19900.0,0.026,0.034,0.0445
