,x,y_lower,y,y_upper
157,15700.0,0.279,0.319,0.3765
158,15800.0,0.2615,0.33,0.3855
159,15900.0,0.2715,0.346,0.4045
160,16000.0,0.3015,0.359,0.4365
161,16100.0,0.243,0.337,0.3965
162,16200.0,0.2795,0.353,0.4435
163,16300.0,0.2925,0.373,0.449
164,16400.0,0.2775,0.34199999999999997,0.415
165,16500.0,0.3095,0.376,0.464
166,16600.0,0.303,0.399,0.533
167,16700.0,0.288,0.352,0.414
168,16800.0,0.3075,0.354,0.4145
169,16900.0,0.3035,0.374,0.46
170,17000.0,0.295,0.34299999999999997,0.38
171,17100.0,0.311,0.355,0.4355
172,17200.0,0.2685,0.315,0.393
173,17300.0,0.2905,0.347,0.4005
174,17400.0,0.3015,0.359,0.44
175,17500.0,0.3005,0.372,0.422
176,17600.0,0.3315,0.37,0.4325
177,17700.0,0.3135,0.358,0.4125
178,17800.0,0.2935,0.385,0.494
179,17900.0,0.27,0.32,0.369
180,18000.0,0.265,0.338,0.411
181,18100.0,0.2975,0.344,0.3925
182,18200.0,0.3035,0.361,0.4705
183,18300.0,0.3455,0.401,0.5015000000000001
184,18400.0,0.32,0.39,0.4665
185,18500.0,0.308,0.374,0.438
186,18600.0,0.3255,0.392,0.467
187,18700.0,0.306,0.381,0.4635
188,18800.0,0.271,0.334,0.3825
189,18900.0,0.293,0.339,0.378
190,19000.0,0.2945,0.388,0.46900000000000003
191,19100.0,0.32,0.367,0.421
192,19200.0,0.304,0.363,0.4295
193,19300.0,0.296,0.358,0.4295
194,19400.0,0.3165,0.362,0.4145
195,19500.0,0.3235,0.391,0.46950000000000003
196,19600.0,0.3105,0.373,0.4405
197,19700.0,0.3295,0.401,0.4965
198,19800.0,0.331,0.423,0.526
199,19900.0,0.364,0.443,0.532
