episode,base_score,base_loss,base_length,opt_score,opt_loss,opt_length,duel_score,duel_loss,duel_length,double_score,double_loss,double_length,duel_double_score,duel_double_loss,duel_double_length
40,-93.37067075,15796.20242,87,-233.168386,8222.244369,226,-473.3637891,7417.311399,173,7.764539803,6194.844776,226,-92.91961271,7436.162129,224
41,-325.5346146,19414.37665,110,-454.7764237,7791.717037,183,-89.13866562,6158.911201,163,-64.78664363,3214.194991,162,-172.6346044,7112.245194,360
42,-217.7787263,13999.95414,116,-207.6458763,6136.219834,164,-184.0969373,8060.747464,160,-76.26871297,32849.26822,1000,-272.7531804,10707.80819,390
43,-86.79462586,8788.114815,64,-143.1170653,7705.350193,227,-232.3833695,4735.513935,149,-370.8505472,26040.50884,832,-189.6557525,23971.16347,1000
44,-361.6982386,14286.2389,105,-315.1724496,9024.043069,242,-194.6857744,14667.54512,300,-38.35091478,3593.887977,158,-279.0913266,10396.01817,423
45,-147.1854301,7946.076905,67,-253.9618965,4631.966244,145,-199.4885001,16221.00098,322,-91.59639621,23959.24858,1000,-447.4975842,8942.067734,390
46,-205.8935218,13209.60956,79,-40.68320395,42982.74562,1000,-324.323613,8170.43705,181,-197.2769635,7590.031646,303,-277.0631046,8756.251476,386
47,-148.0380592,10224.14561,109,-92.47135218,4380.319445,118,-164.9503713,9123.104457,248,-120.8756824,14780.01154,588,-69.21211783,4868.074965,288
48,-10.95000104,8531.021042,67,-153.113619,5771.063408,200,-197.6337106,5624.958422,122,-49.96023053,6404.625547,261,-258.8087964,6825.992653,301
49,-156.980928,10338.90263,99,-192.8914436,5244.291638,107,-67.27494967,10973.68246,191,-144.7790616,12422.55207,528,-132.3810772,6108.074222,262
50,-195.2315094,6543.269222,69,-189.0021462,6667.424712,180,-343.7941538,10691.5949,199,-241.1270772,7369.56337,418,-369.9848988,10321.53408,322
51,-115.3084082,12819.4969,77,-423.4354367,8852.698134,203,-373.6723987,10885.75298,262,-32.23427555,6947.350611,285,14.54329778,4870.636097,253
52,-149.4231251,16350.6605,134,-179.0392041,4843.734973,203,-233.6473503,35018.08236,817,-33.43717842,6935.788744,276,-299.1735715,6125.488277,349
53,-141.6602285,15328.49622,77,-253.2126281,7391.198312,169,-109.0477507,9697.564535,238,-30.51240387,5286.811244,402,-4.456000488,5220.50069,238
54,-188.5611455,11243.74791,69,-211.3376692,8559.441212,257,-73.47384696,33527.71453,1000,-34.58026152,10218.63871,372,-45.99461654,6991.502956,319
55,-145.9748476,14844.64892,89,-125.2905458,7806.856399,230,-292.097513,6049.570893,191,-126.1946525,4134.547236,199,-116.3419498,7875.115839,337
56,-131.1991085,17345.42817,127,-180.5254569,8398.013881,254,-94.5653461,3384.431929,187,-317.5763392,10856.74219,338,-65.38109642,4550.237669,190
57,-314.4117799,11000.91354,66,-227.4609481,6634.225652,213,-204.7327722,4887.503726,134,-141.1326261,14723.56945,709,-36.60559917,6334.001925,378
58,-166.5650289,14681.89907,86,-225.257065,9022.901224,240,-199.8993435,3938.284247,137,-98.60615228,11135.26649,409,-315.1663779,2889.864016,194
59,-374.1645165,13028.26824,90,-287.153989,12559.57277,425,214.0673618,26658.80466,797,14.98288913,5276.719052,235,-261.3289596,4956.577184,283
60,-400.6750849,17127.3486,114,-132.2835998,9344.109408,333,-175.4889965,5784.573758,217,-47.25387067,6076.250764,262,-199.3030134,5017.40771,308
61,-227.1241581,10452.83987,93,-354.6285144,18870.11138,664,-65.76317659,9819.136949,323,-358.6010264,4914.948137,265,-82.98434805,4638.258052,238
62,-368.6937458,15976.9355,117,-306.2787947,11182.23418,327,-63.92871924,18662.72013,701,-294.867351,6409.258151,248,-167.3788681,3408.819896,222
63,-340.8503618,11926.67371,115,-292.722782,6268.778678,187,-124.2053297,22231.1043,965,-153.4440274,7270.835429,536,-84.09382017,7241.508176,295
64,-89.38695117,11860.16507,91,4.057959816,9580.483749,305,-345.5658486,14707.77791,707,-469.4304064,11149.73364,664,178.529956,8310.266043,450
65,-156.7291294,8749.854744,78,-219.6465043,9505.69215,336,-165.8715031,10454.59041,437,-257.8078987,4335.505753,310,-181.4262572,4252.032019,294
66,-148.1476026,11510.56125,110,8.507987563,4635.643538,189,-78.23230314,19044.35776,1000,-13.59065421,6177.385307,386,-250.7397528,2384.040773,156
67,-372.931511,9920.543509,91,-45.90811611,9580.972805,354,-109.4884768,16611.3023,1000,-211.6484749,5814.554993,320,-229.0732991,3635.002058,234
68,-520.1088868,11873.72987,107,-312.0446034,15284.74402,488,-138.1113003,5181.786391,327,-176.0487966,3246.102561,248,-242.2239698,2360.191389,233
69,-73.3954824,8237.550944,90,-117.2223447,11187.8056,406,-39.06884647,5685.347972,316,132.4372129,17081.91398,994,-213.3823478,3723.941158,156
70,-47.55798216,15174.9375,131,-9.656555073,4360.262583,204,-69.52351159,2498.439715,207,-48.41367682,4270.692446,264,-208.1582027,3432.175467,179
71,-84.86000889,6903.87565,69,-238.934965,7561.574836,288,-124.2375121,5107.677661,222,-371.5124101,10317.08112,610,-122.3760923,4336.656563,212
72,-80.03511519,13880.37367,92,-196.1873093,6549.582539,236,-0.926507078,8118.884344,374,-78.23466295,4625.955722,303,150.4223547,10488.31815,610
73,-269.6885656,12596.11553,121,-192.3664521,9962.554725,333,-313.9433318,6332.015589,324,-388.6305781,3502.209607,269,-550.1894015,4215.5418,107
74,-4.429902445,11534.24135,112,-162.1383924,8905.13316,330,-111.4267688,9090.249937,454,-39.39759865,4784.623485,284,-437.2543505,2465.567389,137
75,-89.33240654,12067.29693,101,-8.944913366,7897.092851,308,-213.5761603,5209.671534,285,167.9718008,9542.01058,623,-170.7255698,1999.288981,168
76,-155.9431672,13586.319,144,-217.0822568,5710.16946,247,168.1369032,9160.043429,582,-393.2831969,8222.484533,434,-571.4791712,4971.838782,94
77,-87.58417857,13903.69464,98,-268.3523412,11970.18825,525,-3.948484167,5111.385258,255,-6.992989555,6482.374513,401,-16.78400335,3634.649562,215
78,-125.2373723,12272.73127,121,-227.2979216,7824.546073,277,-23.99060953,5108.04813,268,-10.27775491,6053.63692,372,-29.30380143,4495.061042,326
79,-131.1447169,15256.44409,138,-37.73156827,9780.830928,494,17.61743022,3677.528656,328,-504.1959344,4772.713834,314,-218.4981477,1397.765206,115
80,-207.4736421,15492.07428,143,-37.84933893,4071.315429,256,-12.63698749,17074.8265,1000,136.0270095,18967.34122,913,-98.34732346,7418.651393,311
81,-298.3561874,10066.83119,93,-11.83392202,6923.677757,297,-44.76685349,4582.882095,204,-281.7613302,5941.37974,357,208.0714875,8354.644627,669
82,18.91625301,7685.561467,83,-181.6800153,5783.829934,232,-219.5133459,3459.400857,181,56.49973363,13656.88863,1000,-12.68094291,3824.929476,180
83,-434.8219056,11394.64043,92,224.5019624,12588.73774,619,-76.75218652,4595.942238,278,-81.54393755,5215.706488,303,-197.1194812,4390.056714,314
84,-288.3008992,7453.19699,71,-80.50429382,12674.06033,354,-61.8928853,3726.398878,252,-29.17483246,3882.925508,319,-32.41893803,4724.433343,253
85,-326.9079758,15865.49226,114,-107.3870638,8234.013501,304,-110.126182,1956.274449,117,-47.78408647,6144.804204,368,-154.8512624,3054.846886,163
86,-343.2217409,12342.5932,99,-408.4939337,4281.049619,208,-263.877784,6157.366405,575,-232.6621207,7415.621613,388,263.0428826,7364.402545,397
87,-183.414144,13670.14304,133,-165.2372836,7677.37892,302,-121.779727,4378.154029,340,-286.439317,6129.837054,309,-56.22748138,19100.58162,1000
88,-509.3987545,9366.336867,102,-14.65738047,5441.541587,254,-175.3818612,5400.822205,303,225.7611859,6616.463104,479,-69.44165697,18075.50161,1000
89,-285.7719322,11290.78476,89,35.51472118,4506.78262,244,-87.96912426,3647.610475,132,-37.18497205,4511.996271,408,-420.0273661,3391.902751,166
90,-306.8955059,8975.255678,117,-57.72779867,7239.93665,241,-221.3812436,6727.413014,437,-36.37328505,3579.496821,318,-764.0607945,2221.385402,154
91,-391.2974773,11067.49716,85,214.9744668,19005.28193,705,-438.2273871,3283.902949,209,-166.8548058,6541.530197,368,-437.0841254,6446.687363,315
92,-108.155522,8105.884161,65,-16.50867381,5215.977776,271,-53.82403071,15481.80514,1000,-190.6721696,3148.724781,249,-271.3614036,2319.874727,102
93,-322.9759086,8963.678281,79,-234.2726717,7970.660887,399,-13.55408921,8555.906898,450,2.796824761,4779.447583,282,-251.0315338,13255.50259,751
94,-202.4718008,6851.119052,81,2.555524166,3800.096561,213,24.21868814,15660.38175,1000,-349.7435049,5045.15449,372,-41.20745487,28807.3597,1000
95,-258.1646285,9860.249318,83,6.580193666,6831.698481,342,-580.8119333,2793.141009,194,-111.1768816,4184.107392,306,-162.8522608,5805.673116,266
96,-174.7718382,10786.0184,89,-460.9041036,3702.815318,171,-153.1650944,5530.170205,330,-255.9364201,1769.882169,206,-179.9917713,10919.37099,434
97,-400.0392621,10628.0821,100,-33.91775485,3893.675871,247,-42.30864203,6179.01643,332,-10.34255024,4200.479972,372,64.33121446,23429.29872,1000
98,-283.9662937,8981.522005,102,-69.97146865,4695.785906,340,-393.4286289,10394.23077,670,-123.7680644,9009.200065,604,-78.40159754,8196.033415,325
99,-88.22969,9025.338419,98,-202.0761732,7130.821609,320,-144.1526305,4009.997794,202,-71.30766454,2910.850033,280,140.1047715,6849.320606,472
100,-72.31651066,9358.181746,93,-24.6012676,3855.751699,183,-11.77529336,17307.14344,1000,-140.3582956,4849.085512,469,-185.0432556,6412.010039,312
101,-135.1600411,7201.937281,108,170.6003534,17001.49379,925,-20.55177678,4437.977057,264,6.788522475,3824.891033,294,-81.42058802,5220.262294,263
102,-248.3814515,12372.56645,94,-114.1010533,4651.910079,254,-327.9176339,5650.390713,316,-234.1156541,4956.63588,387,-237.3324032,21545.35398,950
103,-444.1514512,13269.41524,125,-56.31830476,8222.815801,415,-74.41020858,3526.403774,227,-558.525602,4199.365146,165,-362.3239012,13162.01278,566
104,-101.6400848,7204.068238,73,-51.17585267,6937.411743,331,-42.41330799,2881.182395,198,-48.39473495,4638.161635,286,209.7870511,9612.788445,410
105,-296.239527,11099.13054,144,-118.5998487,7917.428562,288,79.77546139,15048.28767,1000,226.2171073,5520.64375,473,-220.8407614,2210.637553,152
106,-286.6054158,10052.91735,111,-122.4301769,13287.17626,640,-55.44249842,8510.481389,507,227.1377319,7948.724181,376,180.7646569,8667.835383,438
107,-375.6621824,12502.01693,97,-37.84754356,5549.821327,320,14.55706695,5200.701138,275,-212.4694583,3376.16284,264,-192.8744616,6666.119855,293
108,-250.5308172,11085.50707,117,-164.6562885,4641.853725,244,-7.162517753,5738.735986,328,214.8465471,14036.62339,828,-307.3884969,6487.922462,441
109,-148.8449877,10683.20849,98,-61.86218438,7920.018922,469,132.2444536,12827.92418,906,-212.5299352,4644.186915,210,6.948633045,5767.456406,243
110,-77.61780914,12881.48106,132,-270.7105493,9008.944939,395,-68.63886506,12747.55714,1000,229.6483114,7773.10686,475,-258.5260247,12907.10791,696
111,-224.7472204,10458.643,112,-33.25880387,9438.033722,443,207.8836181,7788.940855,648,241.0847388,8492.080853,486,-74.43912928,2899.093542,242
112,-109.9199224,6984.459599,90,-153.1730023,14247.7967,925,-61.98746814,6134.002045,358,257.6097273,9266.980369,482,-93.60099484,16487.17426,1000
113,-232.2342362,8381.51659,63,-139.0767738,14174.21244,930,-401.2103659,8865.952542,614,-172.1769495,3559.054493,282,-106.1116609,4351.413369,314
114,-63.98137261,5055.932205,61,-208.5076885,16252.04553,918,-233.391527,7678.426653,510,-36.21870931,3732.547696,357,18.34358982,16139.36162,1000
115,-146.5028462,7727.547143,69,-34.90647053,15488.84498,1000,-250.3202329,5388.645721,556,-232.9642393,8698.430916,464,-203.3007919,3464.838377,246
116,-114.7828591,5000.825493,70,-242.2255813,7735.778015,482,30.20092321,12250.56914,1000,227.8054742,9667.777544,530,-177.2079624,2985.871597,267
117,-16.75470122,16564.40869,142,-40.37609672,6618.392248,371,215.2561636,5155.892763,632,-443.1445852,11798.77231,710,-128.1050657,2452.670471,182
118,-157.1835013,17041.35978,161,-107.3050232,4646.799837,258,-191.907266,4560.067216,353,-739.7114618,1791.250712,111,-443.3406596,5253.244828,223
119,-147.9291643,8179.585068,99,-31.39030701,5549.074563,349,166.271667,15335.9713,838,-31.95383887,8130.016769,322,-214.9825415,1658.499408,150
120,-250.4824411,9971.865022,123,-2.428663574,4815.064098,347,200.8685337,12662.58619,657,-140.3084047,8521.705815,481,39.83790816,15781.90638,1000
121,-397.1892186,8002.06456,100,-9.879627448,5230.685985,382,-100.0885347,6663.194592,532,77.88630359,13421.94642,687,-485.0085065,4006.118466,180
122,-143.6780112,7188.279644,82,-401.807395,15649.60678,944,-417.9805568,7179.528232,685,242.6306829,6303.101536,406,228.9757336,6063.595602,355
123,-72.45668978,8844.981063,106,176.3349858,15104.03957,847,-304.2899823,9612.173355,910,-242.1478949,2872.05763,230,-80.52235141,6797.452405,295
124,-319.5518647,9668.308247,88,-15.47834283,2530.55525,245,180.143923,14432.62943,907,-284.0928008,3927.007968,326,45.0133711,14443.28101,1000
125,-70.17833986,5238.804424,66,-169.3734109,12891.66918,1000,-48.360918,6481.114874,319,-64.00577886,4804.206567,370,5.768798792,6630.938961,249
126,-247.5431125,14850.4148,111,-355.9362874,14760.95969,823,-374.7713077,8014.128569,669,92.56427208,14537.89041,982,-207.753216,5945.683983,346
127,-174.0903553,14642.1895,109,-32.19453012,6012.015843,369,151.0123021,10631.56882,966,-9.956228537,5332.330934,290,55.71178865,20276.30624,1000
128,-391.9254909,6003.318341,94,-166.3850368,14059.18412,1000,113.4979211,9064.251204,943,-243.4267986,6978.681589,405,-134.8993194,20905.56373,1000
129,-282.0612071,11829.37181,110,-114.7291982,11759.84263,1000,192.4597496,6588.752854,648,-16.06534644,4989.568953,296,-317.5685272,4889.499792,168
130,-370.1729312,6612.99754,91,-103.8594994,11709.25851,1000,165.7258603,5929.977744,669,-259.0435016,4754.705371,325,-221.5793055,8602.715894,293
131,-334.5996449,13077.36474,132,-23.40652734,5680.062143,364,-84.72183273,4563.666728,517,-87.45734814,8762.266836,474,-24.43230527,1544.980449,128
132,-173.6352177,6644.601423,83,-221.7244784,2631.797175,137,-107.973425,12177.47855,1000,-192.2818489,13916.32138,909,0.780922281,18238.5723,1000
133,-143.66465,7818.449818,100,-173.2230909,1659.445835,146,-393.1948009,8512.254957,468,-420.7817658,7950.08887,574,107.4136624,25584.68784,1000
134,-120.1407952,11031.3106,114,-128.9051297,8730.345406,632,235.7470273,5877.204288,510,173.1895083,10705.45434,712,-180.4605645,5032.904858,319
135,-104.1129256,6626.80674,85,-161.4627682,13619.72866,1000,-78.71665359,12535.18863,1000,-29.95179082,5753.925325,371,121.3954336,12314.44644,937
136,-326.2493413,9323.210037,106,-150.0077682,15584.41133,1000,165.9268753,6713.017443,641,-31.65153766,5021.697416,305,-59.25190435,6075.621376,410
137,-378.277666,8458.865647,90,-109.0970271,14269.24343,1000,187.5330865,10091.11073,723,-143.5360232,19794.12413,1000,-80.10936346,8835.230058,410
138,-306.0287176,8426.739818,122,-79.836849,5930.057571,565,-15.90560702,6693.472678,446,218.680914,11292.46268,591,-9.038830785,7066.684248,253
139,-492.1228408,10884.11898,114,-132.0354015,13699.40405,1000,-184.3626841,4587.172719,291,-101.4290961,17419.03668,1000,41.3728192,17994.01596,1000
140,-61.93824006,5311.50834,67,-174.1913275,13381.97725,1000,20.28775142,3691.708474,223,276.323882,6320.34699,501,-207.361228,4642.232405,292
141,-394.2028184,11136.21418,98,-35.49604742,6508.883335,492,126.6771637,7335.441431,708,291.7491344,3745.856195,308,-72.65728937,7310.63947,419
142,-31.62877103,9025.202795,122,-145.1830286,10634.03473,1000,132.2095896,12701.52359,908,-71.79453469,9760.355435,510,75.75503195,19014.67474,1000
143,-151.3134262,10268.99596,99,-132.827298,13176.92044,1000,-78.57761145,8368.042894,634,154.22443,9035.105465,560,-66.30369429,13348.12829,1000
144,-190.0122367,12785.32008,119,-147.6824256,15899.37936,1000,-149.5978087,9817.488811,1000,169.1779541,11254.25738,774,100.8734995,15104.19628,1000
145,-275.9374874,8298.351635,118,-130.595215,15180.97826,1000,-104.0674429,13626.20013,1000,-237.834273,8660.192083,481,-59.99708849,15668.62086,1000
146,-124.9015577,8876.79066,138,-28.76245124,14228.82964,1000,233.0978798,9184.474268,568,-53.23614037,5523.618331,376,197.4416028,12650.65932,652
147,-144.3456677,13756.9971,140,-137.27414,15615.58013,1000,-6.732055944,17074.19903,1000,-85.38445307,11266.24933,1000,-116.2448549,24696.99764,1000
148,-95.67584829,8620.670498,106,-111.2437775,13714.00589,1000,-118.0109114,10773.43227,1000,-97.9175171,17593.54153,1000,-57.50768465,12136.20449,1000
149,-360.5642617,7317.280307,116,-100.2117751,14900.97932,1000,258.8272092,7283.831859,516,264.0205089,12716.73703,726,-15.35798934,3790.091044,307
150,-234.3667041,10212.56826,150,-43.64149049,11264.90337,1000,-110.6468079,9276.529588,1000,-56.01862131,6472.127983,382,-168.669469,16431.48301,1000
151,-78.13078189,7922.430084,84,-131.3465976,12181.56636,1000,-155.5682166,15370.73095,1000,219.7578305,8971.284322,544,-12.66252198,17100.49889,1000
152,-67.80286754,8523.757936,64,-297.2352009,11392.63532,1000,-53.31477608,17179.13627,1000,175.0600089,6840.714508,469,66.64875769,11356.81616,1000
153,-132.0567045,3322.269267,90,-164.6779858,11338.86495,1000,-114.8318457,12470.06019,1000,-108.1312434,8613.041207,420,-119.0627992,16763.52632,1000
154,-223.1820589,14272.56155,109,-129.6601965,12486.23264,1000,-83.92752137,14528.97536,1000,228.5460952,8958.604519,502,-189.3343085,21501.27326,943
155,-423.7010053,11953.68589,113,-130.0105119,11356.83723,1000,-122.2384043,11151.89352,1000,-118.9976996,1697.970748,137,-143.7733078,25678.02929,1000
156,-91.58185691,5025.691288,70,-109.9495418,9932.690985,1000,-96.79857183,11413.59202,1000,238.3485089,7458.111361,529,-507.0658073,1342.422429,101
157,-178.2137859,7222.448588,82,-139.0644484,9531.139456,1000,-18.92230593,15853.64608,1000,222.9899835,9426.819955,537,-107.8668265,13147.26168,1000
158,-68.65064545,3792.146993,66,-40.80918464,12084.63079,1000,-125.5439493,8572.820185,1000,245.0140374,7196.934654,495,-99.0334599,17873.29816,1000
159,-185.6528682,5345.019043,64,-71.12034565,2549.498602,242,-100.9202293,14528.93755,1000,192.3565111,6184.804477,588,-116.9622772,16840.09637,1000
160,-139.5683794,10490.64771,112,32.59116317,9481.516454,1000,-118.6982224,12866.51335,1000,-64.49414478,4014.702922,223,-49.19145646,2007.031944,182
161,-59.7784917,2944.164971,64,-140.9797119,11987.25992,1000,-206.0622029,8997.939371,922,-182.2172634,12169.75692,782,-3.837057437,8686.788918,355
162,-372.3805445,6863.954869,97,-141.8323305,10340.03726,1000,-107.512896,13700.2676,1000,-144.950995,16651.38222,1000,-146.7592683,16101.55375,1000
163,-96.3244465,6551.842995,69,-130.0696702,12862.43835,1000,-33.35724292,9151.45903,1000,-126.8628175,21815.86671,1000,-34.02266401,18153.83329,1000
164,-387.8340284,12243.87524,122,-129.0823444,10292.68537,1000,-152.9165244,10515.43351,1000,225.436576,10574.36377,641,-43.52649916,17430.83708,1000
165,-90.1383583,8168.772923,103,-102.1616086,10681.02425,1000,-93.72602671,16131.45483,1000,-136.1104669,12914.23642,913,-57.62750657,18874.87903,1000
166,-204.4500927,11457.42593,109,294.387707,4282.789114,354,-50.49207456,8577.888336,1000,-118.1638685,18405.73096,1000,-90.44091806,18641.26411,1000
167,-198.1013603,5832.150662,84,-128.8979984,7493.653316,1000,-91.60929617,11132.78693,1000,-80.15911988,14497.5355,1000,-104.9855906,15350.41099,1000
168,-338.6931919,5048.106952,83,-28.48326977,3732.930639,314,-70.44628311,5977.996108,1000,-63.92366327,15614.16376,1000,-122.8557776,11734.16322,1000
169,-233.099008,7274.778579,117,123.6214753,10647.50118,900,-110.6758221,10956.65081,1000,-132.0041616,14636.19448,1000,-96.64761814,14355.08478,1000
170,-332.861216,7985.749666,103,-112.1960678,11227.55527,1000,-124.4979653,9560.76258,1000,-124.3990331,16084.98534,1000,-122.7834547,16805.18684,1000
171,-89.40325727,7724.383492,77,-113.9038803,9705.658241,1000,-142.2256981,11054.906,1000,-114.9297999,20227.03751,1000,-98.68130749,13813.53887,1000
172,-67.21071386,7493.669666,84,-100.9507714,11735.78265,1000,-111.9390622,8829.399748,1000,-144.23717,16184.36701,1000,-86.62778694,15044.95707,1000
173,-52.1432535,5510.870394,90,-133.650997,7016.831264,1000,-116.4778184,13372.00144,1000,-100.1916831,11309.2245,1000,-88.02057781,12764.33868,1000
174,-85.16003383,4120.733407,73,-83.88483868,10052.06847,1000,-146.1736003,14667.41793,1000,-87.00224841,18688.41363,1000,-119.5227304,17320.42143,1000
175,-85.12268543,3352.363167,65,-121.2550624,8477.736053,1000,-94.99978005,9458.571205,1000,-105.780858,15979.3376,1000,-93.37701418,13001.47521,1000
176,-221.0319649,7760.002165,116,-117.8580688,8657.804308,1000,-86.98172528,9280.349152,1000,-55.61895616,12062.87726,1000,-126.7385941,10528.30025,1000
177,-66.83794459,4581.547313,76,-93.58191875,10358.05946,1000,-86.80266624,8430.193953,1000,-206.6910739,14524.34228,938,-83.53279472,11123.26099,1000
