,Scores,Loss,Episode length
0,-377.57013343350843,2842.0434951782227,108
1,-379.9923013322189,19057.451286315918,108
2,-298.5905482537904,12413.240951538086,95
3,-197.1558075331539,13508.553205490112,118
4,-64.96136162583969,6548.803946495056,71
5,-70.34992706274177,9552.664601325989,86
6,-403.98148464818166,12947.75588607788,161
7,-143.15164200366584,10320.97611618042,112
8,-52.051743296952566,19041.808736801147,189
9,-303.88177514905783,11975.05732536316,118
10,-8.524526076457875,11427.260108947754,116
11,-144.90268758401223,20042.246520996094,247
12,-247.37951838876833,10093.59187412262,111
13,-182.89353549911777,7837.041193008423,105
14,-282.47641625134094,6154.452732086182,127
15,-281.92409386295367,16080.969446182251,233
16,-60.587528032355536,6419.143220901489,98
17,-297.94534558924977,21414.059112548828,297
18,-189.70521262092137,10059.726106643677,158
19,-256.83302040226533,11623.95266342163,154
20,-294.53383288057626,6132.087971687317,177
21,-138.1787823950612,16151.211925506592,308
22,-252.15534658402828,9169.401210784912,181
23,-48.57856886350014,15430.07780456543,242
24,-156.47715699152042,7457.219535827637,175
25,-142.565440163032,8344.196635246277,164
26,-190.63262579613576,12811.398089408875,289
27,-30.232137259871806,7496.707395553589,162
28,0.7723134364451596,11452.564333438873,233
29,-124.52576653650486,18080.868783950806,325
30,-45.74524915144362,12232.83588218689,221
31,-113.78392174274168,15074.778314113617,364
32,41.33218140139259,42119.73092222214,1000
33,-155.04192454547064,9652.726205825806,312
34,-159.11421392276105,4389.010099649429,212
35,-118.74003756025304,21524.97344136238,593
36,-134.60034104771628,7129.6129322052,229
37,156.7924961830676,25708.114661216736,859
38,-250.86796563593188,10762.622692584991,327
39,-141.52777962479576,14383.596496582031,408
40,-0.14374389593174897,8968.655738830566,300
41,-9.483837651373875,3626.2236251831055,158
42,-93.26370078444086,6892.823883056641,209
43,-158.18258473893462,5391.824189186096,146
44,-21.78374057279764,7082.035994052887,220
45,-243.74021899977217,8069.886867523193,294
46,-119.88573506733343,20440.623420715332,658
47,-524.8420035260026,4716.240289211273,118
48,-719.3461646558893,8090.246799945831,255
49,-227.9581753647309,4222.806835055351,231
50,-731.7629789121999,2655.2399545907974,110
51,-575.7910529738199,5472.157121658325,208
52,-503.43299730212345,4510.419554710388,215
53,-134.60882088554087,4412.477156162262,248
54,-354.3406508329071,3955.981737136841,183
55,-187.68586491062956,6778.002009868622,204
56,-309.3382285671353,5029.733603477478,144
57,-100.48107369371259,4502.11918926239,220
58,-156.66355349477698,4783.731669425964,208
59,-193.63189898811584,5415.610001564026,195
60,-400.4122219477295,3010.3565349578857,120
61,-194.19807099125046,3266.0127291679382,189
62,-18.824330223888524,3434.0999064445496,129
63,-386.5742572765743,3197.1578941345215,137
64,-165.93599249639811,2370.0729236602783,189
65,-321.1646782919218,7152.452826023102,299
66,-449.67022682223944,2354.3543610572815,107
67,-186.2237404006316,7164.304274082184,157
68,-98.32091764522569,4990.226192235947,182
69,-111.76445591711928,2272.0162756443024,125
70,-165.69295517553616,4311.7005343437195,177
71,-331.4376690801339,6087.77021074295,275
72,-487.9031844917168,4411.036880970001,204
73,-521.9048153019376,2283.0782237052917,105
74,-342.2500274205544,3122.915675163269,195
75,-191.6171193347201,7713.057061672211,276
76,-334.58922987303345,7804.338920116425,262
77,-685.0714272167429,5132.336884975433,173
78,-324.138818701007,6950.519460678101,365
79,165.20588199447218,10896.874897956848,642
80,-907.884581649127,8385.246150493622,182
81,-394.81391226628364,9085.94950246811,347
82,-129.24386819247553,10658.34869146347,492
83,-123.33743799780879,21424.635823249817,1000
84,194.22755170346483,14176.592050075531,675
85,164.29783738665344,16402.33479452133,879
86,298.135264224814,10266.99984908104,486
87,195.3168606351885,6739.937703371048,431
88,209.30281575728225,9720.730878829956,686
89,223.48947119861583,9916.905150413513,625
90,-214.51534428700649,11697.032311439514,491
